"WKT","url"
"POLYGON((28.17443848 -3.05412516,28.17718506 -3.05412516,28.17718506 -3.05823918,28.17443848 -3.05823918,28.17443848 -3.05412516))","['http://t0.tiles.virtualearth.net/tiles/a300101200020320102.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020320103.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020320120.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020320121.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020320122.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020320123.jpeg?g=854&mkt=en-US']"
"POLYGON((28.17443848 -3.05823918,28.17718506 -3.05823918,28.17718506 -3.06235317,28.17443848 -3.06235317,28.17443848 -3.05823918))","['http://t0.tiles.virtualearth.net/tiles/a300101200020320300.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020320301.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020320302.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020320303.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020320320.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020320321.jpeg?g=854&mkt=en-US']"
"POLYGON((28.17718506 -3.05412516,28.17993164 -3.05412516,28.17993164 -3.05823918,28.17718506 -3.05823918,28.17718506 -3.05412516))","['http://t0.tiles.virtualearth.net/tiles/a300101200020320112.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020320113.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020320130.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020320131.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020320132.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020320133.jpeg?g=854&mkt=en-US']"
"POLYGON((28.17718506 -3.05823918,28.17993164 -3.05823918,28.17993164 -3.06235317,28.17718506 -3.06235317,28.17718506 -3.05823918))","['http://t0.tiles.virtualearth.net/tiles/a300101200020320310.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020320311.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020320312.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020320313.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020320330.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020320331.jpeg?g=854&mkt=en-US']"
"POLYGON((28.17993164 -3.05412516,28.18267822 -3.05412516,28.18267822 -3.05823918,28.17993164 -3.05823918,28.17993164 -3.05412516))","['http://t0.tiles.virtualearth.net/tiles/a300101200020321002.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321003.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321020.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321021.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321022.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321023.jpeg?g=854&mkt=en-US']"
"POLYGON((28.17993164 -3.05823918,28.18267822 -3.05823918,28.18267822 -3.06235317,28.17993164 -3.06235317,28.17993164 -3.05823918))","['http://t0.tiles.virtualearth.net/tiles/a300101200020321200.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321201.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321202.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321203.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321220.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321221.jpeg?g=854&mkt=en-US']"
"POLYGON((28.18267822 -3.05412516,28.1854248 -3.05412516,28.1854248 -3.05823918,28.18267822 -3.05823918,28.18267822 -3.05412516))","['http://t0.tiles.virtualearth.net/tiles/a300101200020321012.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321013.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321030.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321031.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321032.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321033.jpeg?g=854&mkt=en-US']"
"POLYGON((28.18267822 -3.05823918,28.1854248 -3.05823918,28.1854248 -3.06235317,28.18267822 -3.06235317,28.18267822 -3.05823918))","['http://t0.tiles.virtualearth.net/tiles/a300101200020321210.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321211.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321212.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321213.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321230.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321231.jpeg?g=854&mkt=en-US']"
"POLYGON((28.1854248 -3.05412516,28.18817139 -3.05412516,28.18817139 -3.05823918,28.1854248 -3.05823918,28.1854248 -3.05412516))","['http://t0.tiles.virtualearth.net/tiles/a300101200020321102.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321103.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321120.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321121.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321122.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321123.jpeg?g=854&mkt=en-US']"
"POLYGON((28.1854248 -3.05823918,28.18817139 -3.05823918,28.18817139 -3.06235317,28.1854248 -3.06235317,28.1854248 -3.05823918))","['http://t0.tiles.virtualearth.net/tiles/a300101200020321300.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321301.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321302.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321303.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321320.jpeg?g=854&mkt=en-US','http://t0.tiles.virtualearth.net/tiles/a300101200020321321.jpeg?g=854&mkt=en-US']"
