id;wkt;TileX;TileY;TileZ
1;POLYGON ((28.1744384765625 -3.054125162910836 0,28.175811767578125 -3.054125162910836 0,28.175811767578125 -3.055496502495956 0,28.1744384765625 -3.055496502495956 0,28.1744384765625 -3.054125162910836 0));151588;133297;18
2;POLYGON ((28.175811767578125 -3.054125162910836 0,28.17718505859375 -3.054125162910836 0,28.17718505859375 -3.055496502495956 0,28.175811767578125 -3.055496502495956 0,28.175811767578125 -3.054125162910836 0));151589;133297;18
3;POLYGON ((28.17718505859375 -3.054125162910836 0,28.178558349609375 -3.054125162910836 0,28.178558349609375 -3.055496502495956 0,28.17718505859375 -3.055496502495956 0,28.17718505859375 -3.054125162910836 0));151590;133297;18
4;POLYGON ((28.178558349609375 -3.054125162910836 0,28.179931640625 -3.054125162910836 0,28.179931640625 -3.055496502495956 0,28.178558349609375 -3.055496502495956 0,28.178558349609375 -3.054125162910836 0));151591;133297;18
5;POLYGON ((28.179931640625 -3.054125162910836 0,28.181304931640625 -3.054125162910836 0,28.181304931640625 -3.055496502495956 0,28.179931640625 -3.055496502495956 0,28.179931640625 -3.054125162910836 0));151592;133297;18
6;POLYGON ((28.181304931640625 -3.054125162910836 0,28.18267822265625 -3.054125162910836 0,28.18267822265625 -3.055496502495956 0,28.181304931640625 -3.055496502495956 0,28.181304931640625 -3.054125162910836 0));151593;133297;18
7;POLYGON ((28.18267822265625 -3.054125162910836 0,28.184051513671875 -3.054125162910836 0,28.184051513671875 -3.055496502495956 0,28.18267822265625 -3.055496502495956 0,28.18267822265625 -3.054125162910836 0));151594;133297;18
8;POLYGON ((28.184051513671875 -3.054125162910836 0,28.1854248046875 -3.054125162910836 0,28.1854248046875 -3.055496502495956 0,28.184051513671875 -3.055496502495956 0,28.184051513671875 -3.054125162910836 0));151595;133297;18
9;POLYGON ((28.1854248046875 -3.054125162910836 0,28.186798095703125 -3.054125162910836 0,28.186798095703125 -3.055496502495956 0,28.1854248046875 -3.055496502495956 0,28.1854248046875 -3.054125162910836 0));151596;133297;18
10;POLYGON ((28.186798095703125 -3.054125162910836 0,28.18817138671875 -3.054125162910836 0,28.18817138671875 -3.055496502495956 0,28.186798095703125 -3.055496502495956 0,28.186798095703125 -3.054125162910836 0));151597;133297;18
